discover question id,question name,creator id,question starts at,question ends at,question description,question status,question published at,question resolved at,question correctness known at,use ordinal scoring,question created at,question tags,question challenges,discover answer id,answer name,answer initial probability,answer sort order,answer resolved at,answer resolved by user id,answer resolved probability,answer correctness known at,answer created at,clarification 1,clarification 2,clarification 3,IFP Generation Method,Country - Primary,Country - Secondary,Topic,Region,Non-state violence (Terrorism),Domain,Created By,Deaths,RCT,Controversial,Departure from Status Quo Resolution (Binary Only)
9,How many 'hacking or malware (HACK)' data breaches will Privacy Rights Clearinghouse record for September 2017?,1053,2017-08-09T16:30:39Z,2017-10-01T03:59:39Z,"This question will be resolved using Privacy Rights Clearinghouse's Chronology of Data Breaches (https://www.privacyrights.org/data-breaches). The relevant data can be found by selecting 'Hacking or Malware (HACK)' as the type of breach to display, selecting '2017' as the year, downloading the 'Data Breach File', and then counting the number of entries, for all organizations, in which 'Date Made Public' falls in September 2017.  The question will be suspended on 30 September 2017 and scored using data downloaded from the online chronology on October 31.
",archived,2017-08-09T16:30:19Z,2017-11-08T20:34:41Z,2017-10-01T03:59:57Z,TRUE,2017-08-04T20:16:46Z,[],[],23,More than 23 but less than 31,0.2,2,2017-11-08T20:34:41Z,1043,0,2017-10-01T03:59:57Z,2017-08-04T20:16:46Z,,,,Data-Driven (R Script),N/A - Not Country-specific,,Cyber attacks,,,,,,,,
9,How many 'hacking or malware (HACK)' data breaches will Privacy Rights Clearinghouse record for September 2017?,1053,2017-08-09T16:30:39Z,2017-10-01T03:59:39Z,"This question will be resolved using Privacy Rights Clearinghouse's Chronology of Data Breaches (https://www.privacyrights.org/data-breaches). The relevant data can be found by selecting 'Hacking or Malware (HACK)' as the type of breach to display, selecting '2017' as the year, downloading the 'Data Breach File', and then counting the number of entries, for all organizations, in which 'Date Made Public' falls in September 2017.  The question will be suspended on 30 September 2017 and scored using data downloaded from the online chronology on October 31.
",archived,2017-08-09T16:30:19Z,2017-11-08T20:34:41Z,2017-10-01T03:59:57Z,TRUE,2017-08-04T20:16:46Z,[],[],26,"Between 31 and 40, inclusive",0.2,3,2017-11-08T20:34:41Z,1043,0,2017-10-01T03:59:57Z,2017-08-04T21:29:38Z,,,,Data-Driven (R Script),N/A - Not Country-specific,,Cyber attacks,,,,,,,,
9,How many 'hacking or malware (HACK)' data breaches will Privacy Rights Clearinghouse record for September 2017?,1053,2017-08-09T16:30:39Z,2017-10-01T03:59:39Z,"This question will be resolved using Privacy Rights Clearinghouse's Chronology of Data Breaches (https://www.privacyrights.org/data-breaches). The relevant data can be found by selecting 'Hacking or Malware (HACK)' as the type of breach to display, selecting '2017' as the year, downloading the 'Data Breach File', and then counting the number of entries, for all organizations, in which 'Date Made Public' falls in September 2017.  The question will be suspended on 30 September 2017 and scored using data downloaded from the online chronology on October 31.
",archived,2017-08-09T16:30:19Z,2017-11-08T20:34:41Z,2017-10-01T03:59:57Z,TRUE,2017-08-04T20:16:46Z,[],[],27,More than 40,0.2,4,2017-11-08T20:34:41Z,1043,0,2017-10-01T03:59:57Z,2017-08-04T21:29:38Z,,,,Data-Driven (R Script),N/A - Not Country-specific,,Cyber attacks,,,,,,,,
11,How much crude oil will Libya produce in September 2017?,1048,2017-08-16T16:00:40Z,2017-10-01T03:59:40Z,"This question will be resolved using oil production data measured in thousands of barrels per day (tb/d) reported for Libya for September in the ""OPEC Crude Oil Production Based on Secondary Sources, tb/d"" table of the OPEC Monthly Oil Market Report (http://www.opec.org/opec_web/en/publications/338.htm), expected to be published on 11 October 2017.",archived,2017-08-16T18:00:55Z,2017-10-12T13:36:12Z,2017-10-11T03:59:21Z,TRUE,2017-08-10T21:41:29Z,[],[],33,Less than 967.33,0.2,0,2017-10-12T13:36:12Z,1048,1,2017-10-11T03:59:21Z,2017-08-10T21:41:29Z,,,,Data-Driven (R Script),Libya,,Oil Production,,,,,,,,
11,How much crude oil will Libya produce in September 2017?,1048,2017-08-16T16:00:40Z,2017-10-01T03:59:40Z,"This question will be resolved using oil production data measured in thousands of barrels per day (tb/d) reported for Libya for September in the ""OPEC Crude Oil Production Based on Secondary Sources, tb/d"" table of the OPEC Monthly Oil Market Report (http://www.opec.org/opec_web/en/publications/338.htm), expected to be published on 11 October 2017.",archived,2017-08-16T18:00:55Z,2017-10-12T13:36:12Z,2017-10-11T03:59:21Z,TRUE,2017-08-10T21:41:29Z,[],[],34,"Between 967.33 and 1093.53, inclusive",0.2,1,2017-10-12T13:36:12Z,1048,0,2017-10-11T03:59:21Z,2017-08-10T21:41:29Z,,,,Data-Driven (R Script),Libya,,Oil Production,,,,,,,,
11,How much crude oil will Libya produce in September 2017?,1048,2017-08-16T16:00:40Z,2017-10-01T03:59:40Z,"This question will be resolved using oil production data measured in thousands of barrels per day (tb/d) reported for Libya for September in the ""OPEC Crude Oil Production Based on Secondary Sources, tb/d"" table of the OPEC Monthly Oil Market Report (http://www.opec.org/opec_web/en/publications/338.htm), expected to be published on 11 October 2017.",archived,2017-08-16T18:00:55Z,2017-10-12T13:36:12Z,2017-10-11T03:59:21Z,TRUE,2017-08-10T21:41:29Z,[],[],35,More than 1093.53 but less than 1202.22,0.2,2,2017-10-12T13:36:12Z,1048,0,2017-10-11T03:59:21Z,2017-08-10T21:41:29Z,,,,Data-Driven (R Script),Libya,,Oil Production,,,,,,,,
11,How much crude oil will Libya produce in September 2017?,1048,2017-08-16T16:00:40Z,2017-10-01T03:59:40Z,"This question will be resolved using oil production data measured in thousands of barrels per day (tb/d) reported for Libya for September in the ""OPEC Crude Oil Production Based on Secondary Sources, tb/d"" table of the OPEC Monthly Oil Market Report (http://www.opec.org/opec_web/en/publications/338.htm), expected to be published on 11 October 2017.",archived,2017-08-16T18:00:55Z,2017-10-12T13:36:12Z,2017-10-11T03:59:21Z,TRUE,2017-08-10T21:41:29Z,[],[],36,"Between 1202.22 and 1328.41, inclusive",0.2,3,2017-10-12T13:36:12Z,1048,0,2017-10-11T03:59:21Z,2017-08-10T21:41:29Z,,,,Data-Driven (R Script),Libya,,Oil Production,,,,,,,,
11,How much crude oil will Libya produce in September 2017?,1048,2017-08-16T16:00:40Z,2017-10-01T03:59:40Z,"This question will be resolved using oil production data measured in thousands of barrels per day (tb/d) reported for Libya for September in the ""OPEC Crude Oil Production Based on Secondary Sources, tb/d"" table of the OPEC Monthly Oil Market Report (http://www.opec.org/opec_web/en/publications/338.htm), expected to be published on 11 October 2017.",archived,2017-08-16T18:00:55Z,2017-10-12T13:36:12Z,2017-10-11T03:59:21Z,TRUE,2017-08-10T21:41:29Z,[],[],37,More than 1328.41,0.2,4,2017-10-12T13:36:12Z,1048,0,2017-10-11T03:59:21Z,2017-08-10T21:41:29Z,,,,Data-Driven (R Script),Libya,,Oil Production,,,,,,,,
12,What will the short-term interest rate be for Ireland (IRL) in August 2017?,1048,2017-08-16T16:00:22Z,2017-09-01T03:59:22Z,"This question will be resolved using monthly data reported by the Organization for Economic Cooperation and Development (OECD - https://data.oecd.org/interest/short-term-interest-rates.htm) in which HIGHLIGHTED COUNTRIES OR LOCATION is 'Ireland (IRL)' and TIME is 'August 2017'. Values will be rounded to the nearest one-hundredth. Question will be suspended on 31 August 2017 and resolved when the August data is released, likely in September.",archived,2017-08-16T18:00:55Z,2017-09-08T13:38:40Z,2017-09-07T20:23:49Z,TRUE,2017-08-11T16:45:04Z,[],[],38,Less than -1.76,0.2,0,2017-09-08T13:38:40Z,1048,0,2017-09-07T20:23:49Z,2017-08-11T16:45:04Z,,,,Data-Driven (R Script),Ireland,,Interest rate (short-term),,,,,,,,
12,What will the short-term interest rate be for Ireland (IRL) in August 2017?,1048,2017-08-16T16:00:22Z,2017-09-01T03:59:22Z,"This question will be resolved using monthly data reported by the Organization for Economic Cooperation and Development (OECD - https://data.oecd.org/interest/short-term-interest-rates.htm) in which HIGHLIGHTED COUNTRIES OR LOCATION is 'Ireland (IRL)' and TIME is 'August 2017'. Values will be rounded to the nearest one-hundredth. Question will be suspended on 31 August 2017 and resolved when the August data is released, likely in September.",archived,2017-08-16T18:00:55Z,2017-09-08T13:38:40Z,2017-09-07T20:23:49Z,TRUE,2017-08-11T16:45:04Z,[],[],39,"Between -1.76 and -0.76, inclusive",0.2,1,2017-09-08T13:38:40Z,1048,0,2017-09-07T20:23:49Z,2017-08-11T16:45:04Z,,,,Data-Driven (R Script),Ireland,,Interest rate (short-term),,,,,,,,
12,What will the short-term interest rate be for Ireland (IRL) in August 2017?,1048,2017-08-16T16:00:22Z,2017-09-01T03:59:22Z,"This question will be resolved using monthly data reported by the Organization for Economic Cooperation and Development (OECD - https://data.oecd.org/interest/short-term-interest-rates.htm) in which HIGHLIGHTED COUNTRIES OR LOCATION is 'Ireland (IRL)' and TIME is 'August 2017'. Values will be rounded to the nearest one-hundredth. Question will be suspended on 31 August 2017 and resolved when the August data is released, likely in September.",archived,2017-08-16T18:00:55Z,2017-09-08T13:38:40Z,2017-09-07T20:23:49Z,TRUE,2017-08-11T16:45:04Z,[],[],40,More than -0.76 but less than 0.10,0.2,2,2017-09-08T13:38:40Z,1048,1,2017-09-07T20:23:49Z,2017-08-11T16:45:04Z,,,,Data-Driven (R Script),Ireland,,Interest rate (short-term),,,,,,,,
12,What will the short-term interest rate be for Ireland (IRL) in August 2017?,1048,2017-08-16T16:00:22Z,2017-09-01T03:59:22Z,"This question will be resolved using monthly data reported by the Organization for Economic Cooperation and Development (OECD - https://data.oecd.org/interest/short-term-interest-rates.htm) in which HIGHLIGHTED COUNTRIES OR LOCATION is 'Ireland (IRL)' and TIME is 'August 2017'. Values will be rounded to the nearest one-hundredth. Question will be suspended on 31 August 2017 and resolved when the August data is released, likely in September.",archived,2017-08-16T18:00:55Z,2017-09-08T13:38:40Z,2017-09-07T20:23:49Z,TRUE,2017-08-11T16:45:04Z,[],[],41,"Between 0.10 and 1.10, inclusive",0.2,3,2017-09-08T13:38:40Z,1048,0,2017-09-07T20:23:49Z,2017-08-11T16:45:04Z,,,,Data-Driven (R Script),Ireland,,Interest rate (short-term),,,,,,,,
12,What will the short-term interest rate be for Ireland (IRL) in August 2017?,1048,2017-08-16T16:00:22Z,2017-09-01T03:59:22Z,"This question will be resolved using monthly data reported by the Organization for Economic Cooperation and Development (OECD - https://data.oecd.org/interest/short-term-interest-rates.htm) in which HIGHLIGHTED COUNTRIES OR LOCATION is 'Ireland (IRL)' and TIME is 'August 2017'. Values will be rounded to the nearest one-hundredth. Question will be suspended on 31 August 2017 and resolved when the August data is released, likely in September.",archived,2017-08-16T18:00:55Z,2017-09-08T13:38:40Z,2017-09-07T20:23:49Z,TRUE,2017-08-11T16:45:04Z,[],[],42,More than 1.10,0.2,4,2017-09-08T13:38:40Z,1048,0,2017-09-07T20:23:49Z,2017-08-11T16:45:04Z,,,,Data-Driven (R Script),Ireland,,Interest rate (short-term),,,,,,,,
13,What will the monthly percent change in the consumer price index (CPI) be for Estonia in August 2017?,1053,2017-08-16T16:00:49Z,2017-09-01T03:59:49Z,"This question will be resolved using data from the International Monetary Fund ( http://data.imf.org/regular.aspx?key=61015893 ), and can be found after adding “Estonia” from the Country drop down menu, and ""Consumer Price Index, All Items"" from the Indicator drop down menu. The relevant row is: “Estonia, Consumer Price Index, All Items,” and the relevant column will be ""2017M08.” Question will be suspended on 31 August 2017 and resolved based on initially reported values for August expected to published the first week of September 2017.",archived,2017-08-16T18:00:02Z,2017-09-12T18:58:14Z,2017-09-12T18:56:03Z,TRUE,2017-08-14T11:30:03Z,[],[],43,Less than -38%,0.2,0,2017-09-12T18:58:14Z,1053,0,2017-09-12T18:56:03Z,2017-08-14T11:30:03Z,,,,Data-Driven (R Script),Estonia,,Consumer price index,,,,,,,,
13,What will the monthly percent change in the consumer price index (CPI) be for Estonia in August 2017?,1053,2017-08-16T16:00:49Z,2017-09-01T03:59:49Z,"This question will be resolved using data from the International Monetary Fund ( http://data.imf.org/regular.aspx?key=61015893 ), and can be found after adding “Estonia” from the Country drop down menu, and ""Consumer Price Index, All Items"" from the Indicator drop down menu. The relevant row is: “Estonia, Consumer Price Index, All Items,” and the relevant column will be ""2017M08.” Question will be suspended on 31 August 2017 and resolved based on initially reported values for August expected to published the first week of September 2017.",archived,2017-08-16T18:00:02Z,2017-09-12T18:58:14Z,2017-09-12T18:56:03Z,TRUE,2017-08-14T11:30:03Z,[],[],44,"Between -38% and -14%, inclusive",0.2,1,2017-09-12T18:58:14Z,1053,0,2017-09-12T18:56:03Z,2017-08-14T11:30:03Z,,,,Data-Driven (R Script),Estonia,,Consumer price index,,,,,,,,
13,What will the monthly percent change in the consumer price index (CPI) be for Estonia in August 2017?,1053,2017-08-16T16:00:49Z,2017-09-01T03:59:49Z,"This question will be resolved using data from the International Monetary Fund ( http://data.imf.org/regular.aspx?key=61015893 ), and can be found after adding “Estonia” from the Country drop down menu, and ""Consumer Price Index, All Items"" from the Indicator drop down menu. The relevant row is: “Estonia, Consumer Price Index, All Items,” and the relevant column will be ""2017M08.” Question will be suspended on 31 August 2017 and resolved based on initially reported values for August expected to published the first week of September 2017.",archived,2017-08-16T18:00:02Z,2017-09-12T18:58:14Z,2017-09-12T18:56:03Z,TRUE,2017-08-14T11:30:03Z,[],[],45,Greater than -14% but less than 6%,0.2,2,2017-09-12T18:58:14Z,1053,0,2017-09-12T18:56:03Z,2017-08-14T11:30:03Z,,,,Data-Driven (R Script),Estonia,,Consumer price index,,,,,,,,
13,What will the monthly percent change in the consumer price index (CPI) be for Estonia in August 2017?,1053,2017-08-16T16:00:49Z,2017-09-01T03:59:49Z,"This question will be resolved using data from the International Monetary Fund ( http://data.imf.org/regular.aspx?key=61015893 ), and can be found after adding “Estonia” from the Country drop down menu, and ""Consumer Price Index, All Items"" from the Indicator drop down menu. The relevant row is: “Estonia, Consumer Price Index, All Items,” and the relevant column will be ""2017M08.” Question will be suspended on 31 August 2017 and resolved based on initially reported values for August expected to published the first week of September 2017.",archived,2017-08-16T18:00:02Z,2017-09-12T18:58:14Z,2017-09-12T18:56:03Z,TRUE,2017-08-14T11:30:03Z,[],[],46,"Between 6% and 30%, inclusive",0.2,3,2017-09-12T18:58:14Z,1053,0,2017-09-12T18:56:03Z,2017-08-14T11:30:03Z,,,,Data-Driven (R Script),Estonia,,Consumer price index,,,,,,,,
13,What will the monthly percent change in the consumer price index (CPI) be for Estonia in August 2017?,1053,2017-08-16T16:00:49Z,2017-09-01T03:59:49Z,"This question will be resolved using data from the International Monetary Fund ( http://data.imf.org/regular.aspx?key=61015893 ), and can be found after adding “Estonia” from the Country drop down menu, and ""Consumer Price Index, All Items"" from the Indicator drop down menu. The relevant row is: “Estonia, Consumer Price Index, All Items,” and the relevant column will be ""2017M08.” Question will be suspended on 31 August 2017 and resolved based on initially reported values for August expected to published the first week of September 2017.",archived,2017-08-16T18:00:02Z,2017-09-12T18:58:14Z,2017-09-12T18:56:03Z,TRUE,2017-08-14T11:30:03Z,[],[],47,Greater than 30%,0.2,4,2017-09-12T18:58:14Z,1053,1,2017-09-12T18:56:03Z,2017-08-14T11:30:03Z,,,,Data-Driven (R Script),Estonia,,Consumer price index,,,,,,,,
14,How many UN member states will sign the Treaty on the Prohibition of Nuclear Weapons before 1 November 2017?,1046,2017-08-16T16:00:01Z,2017-11-01T03:59:01Z,"In July 2017, a UN conference negotiated the text for the Treaty on the Prohibition of Nuclear Weapons (http://www.un.org/apps/news/story.asp?NewsID=57139#.WXT5i4opBTZ, https://www.washingtonpost.com/news/monkey-cage/wp/2017/07/17/the-u-n-just-passed-a-treaty-outlawing-nuclear-weapons-that-actually-matters/?utm_term=.1044e36e1f48). Starting on 20 September 2017 at the UN General Assembly, any UN member state can sign it (https://www.nytimes.com/2017/07/07/world/americas/united-nations-nuclear-weapons-prohibition-destruction-global-treaty.html?mcubz=2).",archived,2017-08-16T18:00:40Z,2017-11-22T10:46:56Z,2017-11-01T13:00:32Z,TRUE,2017-08-14T13:28:11Z,[],[],48,Less than 50,0.2,0,2017-11-22T10:46:56Z,1046,0,2017-11-01T13:00:32Z,2017-08-14T13:28:11Z,,,,Idiosyncratic,N/A - Not Country-specific,,Idiosyncratic,,,,,,,,
14,How many UN member states will sign the Treaty on the Prohibition of Nuclear Weapons before 1 November 2017?,1046,2017-08-16T16:00:01Z,2017-11-01T03:59:01Z,"In July 2017, a UN conference negotiated the text for the Treaty on the Prohibition of Nuclear Weapons (http://www.un.org/apps/news/story.asp?NewsID=57139#.WXT5i4opBTZ, https://www.washingtonpost.com/news/monkey-cage/wp/2017/07/17/the-u-n-just-passed-a-treaty-outlawing-nuclear-weapons-that-actually-matters/?utm_term=.1044e36e1f48). Starting on 20 September 2017 at the UN General Assembly, any UN member state can sign it (https://www.nytimes.com/2017/07/07/world/americas/united-nations-nuclear-weapons-prohibition-destruction-global-treaty.html?mcubz=2).",archived,2017-08-16T18:00:40Z,2017-11-22T10:46:56Z,2017-11-01T13:00:32Z,TRUE,2017-08-14T13:28:11Z,[],[],49,"Between 50 and 100, inclusive",0.2,1,2017-11-22T10:46:56Z,1046,1,2017-11-01T13:00:32Z,2017-08-14T13:28:11Z,,,,Idiosyncratic,N/A - Not Country-specific,,Idiosyncratic,,,,,,,,
